timestamp,sequence_id,interacted,lstm_proba,rf_proba
1692974183.1465104,1,True,0.4506166875362396,0.45
1692974183.3465705,1,True,0.5527067184448242,0.61
1692974183.54663,1,True,0.6733709573745728,0.54
1692974183.7467024,1,True,0.7940916419029236,0.48
1692974183.9467604,1,True,0.8455054759979248,0.51
1692974184.1468372,1,True,0.8810590505599976,0.56
1692974184.3469212,1,True,0.9338114261627197,0.64
1692974184.5469902,1,True,0.9325693845748901,0.59
1692974184.7471905,1,True,0.9254522919654846,0.5
1692974184.9472528,1,True,0.9203508496284485,0.56
1692974185.1474626,1,True,0.8971860408782959,0.45
1692974185.3474998,1,True,0.8712447881698608,0.05
1692974185.5475538,1,True,0.8712863922119141,0.43
1692974185.74761,1,True,0.8469387888908386,0.25
1692974185.947661,1,True,0.818432629108429,0.49
1692974186.1477256,1,True,0.7930344939231873,0.32
1692974186.3479192,1,True,0.7642350196838379,0.38
1692974186.5479634,1,True,0.7182906270027161,0.4
1692974186.748027,1,True,0.7858157157897949,0.4
1692974186.94808,1,True,0.8805513978004456,0.64
1692974187.1481433,1,True,0.935104489326477,0.73
1692974187.3482137,1,True,0.9622154831886292,0.92
1692974187.5482836,1,True,0.9738560318946838,0.89
1692974187.7483416,1,True,0.9834831953048706,0.98
1692974187.9484084,1,True,0.9889312982559204,1.0
1692974188.1484802,1,True,0.9930985569953918,1.0
1692974188.3485436,1,True,0.9958429932594299,1.0
1692974188.5486195,1,True,0.9972143769264221,1.0
1692974188.7486954,1,True,0.9978302121162415,1.0
1692974188.9487653,1,True,0.9982473850250244,1.0
1692974189.148847,1,True,0.9984551668167114,0.97
1692974189.349054,1,True,0.9986091256141663,0.96
1692974189.549122,1,True,0.9986439347267151,1.0
1692974189.7491903,1,True,0.9986556768417358,1.0
1692974189.9492638,1,True,0.9986924529075623,1.0
1692974190.1493225,1,True,0.998807430267334,1.0
1692974190.349403,1,True,0.9988836646080017,1.0
1692974190.5494628,1,True,0.9989269375801086,1.0
1692974190.7495313,1,True,0.9989435076713562,1.0
1692974190.9496095,1,True,0.9988866448402405,1.0
1692974191.1498132,1,True,0.9988471269607544,1.0
1692974191.3498695,1,True,0.9988152980804443,0.99
1692974191.5501063,1,True,0.9981071949005127,0.87
1692974200.3534944,2,True,0.3950123190879822,0.75
1692974200.5535605,2,True,0.4472983479499817,0.71
1692974200.753633,2,True,0.5159708857536316,0.85
1692974200.9537067,2,True,0.5991085767745972,0.48
1692974201.153775,2,True,0.710863471031189,0.78
1692974201.3538437,2,True,0.7208979725837708,0.77
1692974201.553927,2,True,0.7316293716430664,0.84
1692974201.754011,2,True,0.7435333132743835,0.86
1692974201.95409,2,True,0.7767183780670166,0.51
1692974202.154169,2,True,0.806444525718689,0.69
1692974202.3542542,2,True,0.8311044573783875,0.51
1692974202.5544612,2,True,0.7957119941711426,0.74
1692974202.7545335,2,True,0.8389880657196045,0.66
1692974202.9547174,2,True,0.7807030081748962,0.39
1692974203.154775,2,True,0.778984546661377,0.66
1692974203.3548367,2,True,0.8268491625785828,0.75
1692974203.5550282,2,True,0.930105984210968,0.76
1692974203.7550676,2,True,0.9732330441474915,0.88
1692974203.955128,2,True,0.9877774119377136,0.78
